GeneInteraction,bait,prey,mssEffect,mss_direction,posCtl_Interaction,posCtl_source,denom_type,ctl_bait,ctl_prey,r_pair_DMSO,r_posCtl_DMSO,ratio_DMSO,diff_DMSO,r_pair_Vorino,r_posCtl_Vorino,ratio_Vorino,diff_Vorino,delta_ratio,delta_diff,ratio_DMSO_lo,ratio_DMSO_hi,ratio_Vorino_lo,ratio_Vorino_hi,diff_DMSO_lo,diff_DMSO_hi,diff_Vorino_lo,diff_Vorino_hi,at_or_above_DMSO,above_CI_DMSO,below_CI_DMSO,at_or_above_Vorino,above_CI_Vorino,below_CI_Vorino,measurable
AURKB_CCN1,AURKB,CCN1,up,increase,AURKB_INCENP,Apms_Ppi,insig,AURKB,INCENP,0.11546849953751916,0.11347363956200812,1.0175799417663072,0.0019948599755110347,0.13867395379154082,0.09432631921661802,1.4701512254822493,0.0443476345749228,0.45257128371594213,0.042352774599411766,0.5576916439554475,1.925744217270242,0.8013466803233312,3.510083651794747,-0.06635492994333457,0.06859483204793733,-0.027354219915831948,0.11216623740144174,True,False,False,True,False,False,True
AURKB_CSRP2,AURKB,CSRP2,up,increase,AURKB_INCENP,Apms_Ppi,insig,AURKB,INCENP,0.10807493279607241,0.11347363956200812,0.9524232518955598,-0.005398706765935707,0.1542275713847611,0.09432631921661802,1.6350428243741957,0.05990125216814307,0.6826195724786359,0.06529995893407878,0.4611251359889144,1.7820174505192703,0.9542890694947314,4.000913793386589,-0.07396059835297081,0.06231806134132074,-0.0057427860539216785,0.12643665479097077,False,False,False,True,False,False,True
AURKB_FBXO46,AURKB,FBXO46,up,increase,AURKB_INCENP,Apms_Ppi,insig,AURKB,INCENP,0.11674491663754238,0.11347363956200812,1.0288285198937914,0.0032712770755342624,0.11324488550886438,0.09432631921661802,1.2005650856448702,0.018918566292246364,0.17173656575107876,0.0156472892167121,0.5285215116769825,2.104191335837763,0.5828758197940491,3.0966216392545634,-0.06900289137798953,0.0790258288500263,-0.055049822784901545,0.09383477371563653,True,False,False,True,False,False,True
AURKB_INCENP,AURKB,INCENP,insig,posctl,AURKB_INCENP,Apms_Ppi,self,AURKB,INCENP,0.11347363956200812,0.11347363956200812,1.0,0.0,0.09432631921661802,0.09432631921661802,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
BAP1_ARPC1B,BAP1,ARPC1B,down,decrease,BAP1_HCFC1,Apms_Ppi,insig,BAP1,HCFC1,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
BAP1_HCFC1,BAP1,HCFC1,insig,posctl,BAP1_HCFC1,Apms_Ppi,self,BAP1,HCFC1,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
BARD1_ACTR2,BARD1,ACTR2,down,decrease,BARD1_BRCA1,Apms_Ppi,insig,BARD1,BRCA1,0.17004273390682112,0.17832803508166192,0.9535389868954328,-0.008285301174840803,0.1550586029348573,0.179186246117168,0.8653487993351126,-0.0241276431823107,-0.08819018756032027,-0.015842342007469895,0.6023863151822111,1.6172706124968639,0.5842828026144278,1.3788316936554876,-0.0839184524230253,0.0900131795034241,-0.0864181200201866,0.05713626586242647,False,False,False,False,False,False,True
BARD1_ARPC3,BARD1,ARPC3,down,decrease,BARD1_BRCA1,Apms_Ppi,insig,BARD1,BRCA1,0.14279173652449542,0.17832803508166192,0.8007251157066059,-0.0355362985571665,0.1821197644604985,0.179186246117168,1.0163713365668272,0.002933518343330499,0.21564622086022134,0.038469816900497,0.5000038391229873,1.458820589587602,0.6022660952336858,1.7257644739588145,-0.10819954010857474,0.06671699321726275,-0.08122545819217115,0.11254063013843736,False,False,False,True,False,False,True
BARD1_ARPC4,BARD1,ARPC4,down,decrease,BARD1_BRCA1,Apms_Ppi,insig,BARD1,BRCA1,0.1774345319484473,0.17832803508166192,0.9949895531972555,-0.0008935031332146237,0.20026352800392372,0.179186246117168,1.117627788647202,0.021077281886755728,0.12263823544994645,0.02197078501997035,0.65726431895841,1.503237498388511,0.7644498009547783,1.6603898239169608,-0.0746660584125213,0.07022538963642502,-0.04876004953261675,0.091340852033543,False,False,False,True,False,False,True
BARD1_BRCA1,BARD1,BRCA1,insig,posctl,BARD1_BRCA1,Apms_Ppi,self,BARD1,BRCA1,0.17832803508166192,0.17832803508166192,1.0,0.0,0.179186246117168,0.179186246117168,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
