direction,rank,bait,prey,mssEffect,r_DMSO,r_Vorino,delta_r,concordant
down/lost,1,CHD4,CDK2AP1,down,0.13000826427167692,0.225764686420249,0.09575642214857208,False
down/lost,2,YWHAQ,FAM184B,lost,0.0008969993150897388,0.07405624778354299,0.07315924846845324,False
down/lost,3,BRPF1,CPSF3,down,0.09680851324048668,0.15784035835902058,0.06103184511853389,False
down/lost,4,YWHAE,MTA1,down,0.1460811401335995,0.18853208805411542,0.04245094792051593,False
down/lost,5,PPP1CA,RIF1,down,0.09774236944802898,0.13953371101594778,0.04179134156791879,False
down/lost,6,BARD1,ARPC3,down,0.14279173652449545,0.18211976446049852,0.03932802793600307,False
down/lost,7,BAP1,ARPC1B,down,0.15985056160902594,0.19502994668822818,0.035179385079202236,False
down/lost,8,HDAC1,MBD3,down,0.1663282852431712,0.19914056307327552,0.03281227783010432,False
down/lost,9,YWHAE,MBD3,down,0.1688368114298685,0.2013649586301962,0.032528147200327706,False
down/lost,10,HDAC7,UHRF1,down,0.15278723999843202,0.1829556897144951,0.030168449716063084,False
down/lost,11,HDAC3,HMGN2,down,0.10506955434368569,0.13446656225158046,0.029397007907894776,False
down/lost,12,BRPF1,IMMT,down,0.13835205429826342,0.16512115483225598,0.026769100533992563,False
down/lost,13,MSL1,MSL3,down,0.048030847289602906,0.07325391475774223,0.025223067468139328,False
down/lost,14,BARD1,ARPC4,down,0.17743453194844738,0.20026352800392377,0.02282899605547639,False
down/lost,15,MORF4L1,BRD8,down,0.14088610907720306,0.1629276103326586,0.022041501255455537,False
down/lost,16,HDAC3,NCOA5,down,0.18514524975303148,0.19587262563915978,0.010727375886128293,False
down/lost,17,HDAC2,HMG20B,down,0.1949662473709427,0.20556387994144912,0.010597632570506416,False
down/lost,18,MSL1,KAT8,down,0.13788386695025864,0.14061231664615795,0.0027284496958993043,False
down/lost,19,HDAC2,MBD3,down,0.21712029111164138,0.2185606368179779,0.0014403457063365266,False
down/lost,20,PRMT1,FAM184B,lost,0.08162333640528766,0.08155411894157986,-6.92174637077908e-05,True
down/lost,21,HDAC2,RCOR3,down,0.20013045063507345,0.19621506879049525,-0.0039153818445782085,True
down/lost,22,MORF4L1,MRGBP,down,0.1326595537713313,0.1268646970807715,-0.005794856690559791,True
down/lost,23,BAZ1B,MX2,down,0.16308651359903512,0.15461175020926066,-0.008474763389774459,True
down/lost,24,BARD1,ACTR2,down,0.17004273390682115,0.15505860293485726,-0.014984130971963883,True
down/lost,25,BAZ1B,IFIT3,down,0.17008705419441722,0.15179919827378427,-0.01828785592063295,True
down/lost,26,BAZ1B,PARP12,down,0.17080112304689188,0.14821592009052886,-0.022585202956363015,True
down/lost,27,KAT2A,TADA2A,down,0.23710476761869545,0.21268547959694498,-0.024419288021750474,True
down/lost,28,MSL1,MSL2,down,0.14380486098246364,0.11370240005745871,-0.03010246092500493,True
