norm,metric,gene_set,n_genes,mean_sim_D,mean_sim_V,n_known,n_concordant,pct_all,n_up,n_up_conc,pct_up,n_dn,n_dn_conc,pct_dn,binom_p
Z-norm,Pearson,DMSO 500,500,0.12003193973945848,0.11054719719625054,83,53,63.855421686746986,46,28,60.869565217391305,37,25,67.56756756756756,0.007616100930997331
Z-norm,Pearson,Vorino 500,500,0.09899921212439401,0.11941547272539235,83,51,61.44578313253012,46,35,76.08695652173913,37,16,43.24324324324324,0.023762444628265912
Z-norm,Pearson,Union 500,941,0.16121225540018227,0.18105744948919925,83,49,59.036144578313255,46,33,71.73913043478261,37,16,43.24324324324324,0.06192652973090074
Z-norm,Pearson,Intersect 500,59,0.1457141691077837,0.10388656789274937,83,42,50.602409638554214,46,19,41.30434782608695,37,23,62.16216216216216,0.4999999999999998
Z-norm,Pearson,DMSO 1000,1000,0.11823984528271607,0.12483945084479496,83,53,63.855421686746986,46,32,69.56521739130434,37,21,56.75675675675676,0.007616100930997331
Z-norm,Pearson,Vorino 1000,1000,0.10936350265705362,0.1361277950945763,83,57,68.67469879518072,46,38,82.6086956521739,37,19,51.351351351351354,0.00043877589000143255
Z-norm,Pearson,Union 1000,1861,0.15733229363962511,0.17544206274685623,83,54,65.06024096385542,46,36,78.26086956521739,37,18,48.648648648648646,0.004018353188928501
Z-norm,Pearson,Intersect 1000,139,0.11061310142932855,0.11786792540341126,83,38,45.78313253012048,46,22,47.82608695652174,37,16,43.24324324324324,0.8100003017940409
Z-norm,Pearson,DMSO 2000,2000,0.12451794229943605,0.14050688454256982,83,52,62.65060240963855,46,34,73.91304347826087,37,18,48.648648648648646,0.013767089006147266
Z-norm,Pearson,Vorino 2000,2000,0.12305047489493419,0.15131347713524565,83,54,65.06024096385542,46,38,82.6086956521739,37,16,43.24324324324324,0.004018353188928501
Z-norm,Pearson,Union 2000,3669,0.15302885250681028,0.1756801784059564,83,55,66.26506024096386,46,40,86.95652173913044,37,15,40.54054054054054,0.0020196044433347065
Z-norm,Pearson,Intersect 2000,331,0.10623816596956914,0.11913984644186366,83,51,61.44578313253012,46,32,69.56521739130434,37,19,51.351351351351354,0.023762444628265912
Z-norm,Pearson,Union 3000,5437,0.15238078844561656,0.17253912282307188,83,56,67.46987951807229,46,40,86.95652173913044,37,16,43.24324324324324,0.0009657187411125238
Z-norm,Pearson,Intersect 3000,563,0.10717990177539968,0.12085909924085572,83,48,57.83132530120482,46,32,69.56521739130434,37,16,43.24324324324324,0.09372993398309643
