GeneInteraction,bait,prey,mssEffect,mss_direction,J_up_DMSO,J_up_Vorino,J_down_DMSO,J_down_Vorino,deltaJ_up,deltaJ_down,concordant_up,concordant_down,bait_in_DMSO,prey_in_DMSO,bait_in_Vorino,prey_in_Vorino
AURKB_CCN1,AURKB,CCN1,up,increase,0.0,0.07462686567164178,0.0,0.011904761904761904,0.07462686567164178,0.011904761904761904,True,True,True,True,True,True
AURKB_CSRP2,AURKB,CSRP2,up,increase,0.0625,0.15476190476190477,0.0,0.02040816326530612,0.09226190476190477,0.02040816326530612,True,True,True,True,True,True
AURKB_FBXO46,AURKB,FBXO46,up,increase,0.0,0.017857142857142856,0.11764705882352941,0.0,0.017857142857142856,-0.11764705882352941,True,False,True,True,True,True
AURKB_INCENP,AURKB,INCENP,insig,posctl,0.012987012987012988,0.2,0.015151515151515152,0.02127659574468085,0.18701298701298702,0.006125080593165699,,,True,True,True,True
BAP1_ARPC1B,BAP1,ARPC1B,down,decrease,0.041666666666666664,0.011363636363636364,0.0,0.029411764705882353,-0.0303030303030303,0.029411764705882353,True,False,True,True,True,True
BAP1_HCFC1,BAP1,HCFC1,insig,posctl,0.0,,0.0,,,,,,True,True,True,False
BARD1_ACTR2,BARD1,ACTR2,down,decrease,0.03225806451612903,0.05660377358490566,0.011904761904761904,0.04081632653061224,0.02434570906877663,0.028911564625850338,False,False,True,True,True,True
BARD1_ARPC3,BARD1,ARPC3,down,decrease,0.057971014492753624,0.02127659574468085,0.14516129032258066,0.0,-0.03669441874807278,-0.14516129032258066,True,True,True,True,True,True
BARD1_ARPC4,BARD1,ARPC4,down,decrease,0.013888888888888888,0.09016393442622951,0.012195121951219513,0.019230769230769232,0.07627504553734063,0.007035647279549719,False,False,True,True,True,True
BARD1_BRCA1,BARD1,BRCA1,insig,posctl,0.011111111111111112,0.0759493670886076,0.0380952380952381,0.02857142857142857,0.06483825597749648,-0.009523809523809528,,,True,True,True,True
BARD1_FXR2,BARD1,FXR2,up,increase,0.031914893617021274,0.04,0.06172839506172839,0.0,0.008085106382978727,-0.06172839506172839,True,False,True,True,True,True
BAZ1B_IFIT3,BAZ1B,IFIT3,down,decrease,0.016129032258064516,0.03333333333333333,0.08163265306122448,0.0,0.017204301075268817,-0.08163265306122448,False,True,True,True,True,True
BAZ1B_MX2,BAZ1B,MX2,down,decrease,0.041666666666666664,0.03389830508474576,0.0,0.0,-0.007768361581920902,0.0,True,False,True,True,True,True
BAZ1B_PARP12,BAZ1B,PARP12,down,decrease,0.02127659574468085,0.08823529411764706,0.019230769230769232,0.0,0.06695869837296621,-0.019230769230769232,False,True,True,True,True,True
BAZ1B_SMARCA5,BAZ1B,SMARCA5,insig,posctl,0.0,0.02631578947368421,0.0,0.0,0.02631578947368421,0.0,,,True,True,True,True
BRPF1_CPSF3,BRPF1,CPSF3,down,decrease,0.018691588785046728,0.0,0.0,0.05405405405405406,-0.018691588785046728,0.05405405405405406,True,False,True,True,True,True
BRPF1_IMMT,BRPF1,IMMT,down,decrease,0.0,0.0,0.023255813953488372,0.0,0.0,-0.023255813953488372,False,True,True,True,True,True
BRPF1_ING4,BRPF1,ING4,insig,posctl,0.06382978723404255,0.010869565217391304,0.03636363636363636,0.008771929824561403,-0.052960222016651244,-0.02759170653907496,,,True,True,True,True
CHD4_CDK2AP1,CHD4,CDK2AP1,down,decrease,0.016129032258064516,0.07894736842105263,0.0,0.08641975308641975,0.06281833616298811,0.08641975308641975,False,False,True,True,True,True
HDAC1_GATAD2B,HDAC1,GATAD2B,down,decrease,0.01639344262295082,0.017857142857142856,0.015625,0.0,0.0014637002341920356,-0.015625,False,True,True,True,True,True
HDAC1_MBD3,HDAC1,MBD3,down,decrease,0.024390243902439025,0.01639344262295082,0.05,0.03125,-0.007996801279488205,-0.018750000000000003,True,True,True,True,True,True
HDAC2_HMG20B,HDAC2,HMG20B,down,decrease,0.04225352112676056,0.0,0.0,0.0,-0.04225352112676056,0.0,True,False,True,True,True,True
HDAC2_MBD3,HDAC2,MBD3,down,decrease,0.09090909090909091,0.07407407407407407,0.0,0.0,-0.01683501683501684,0.0,True,False,True,True,True,True
HDAC2_RBBP4,HDAC2,RBBP4,down,decrease,0.06382978723404255,0.0,0.0,0.0,-0.06382978723404255,0.0,True,False,True,True,True,True
HDAC2_RCOR3,HDAC2,RCOR3,down,decrease,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,False,False,True,True,True,True
HDAC2_RREB1,HDAC2,RREB1,down,decrease,,0.09523809523809523,,0.0,,,,,True,False,True,True
HDAC3_CITED2,HDAC3,CITED2,up,increase,0.0,0.0,0.0,0.0625,0.0,0.0625,False,True,True,True,True,True
HDAC3_HMGN2,HDAC3,HMGN2,down,decrease,0.0,0.0,0.022727272727272728,0.0,0.0,-0.022727272727272728,False,True,True,True,True,True
HDAC3_NCOA5,HDAC3,NCOA5,down,decrease,0.0,0.0,0.01098901098901099,0.0,0.0,-0.01098901098901099,False,True,True,True,True,True
HDAC3_SMARCC1,HDAC3,SMARCC1,down,decrease,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,False,False,True,True,True,True
HDAC7_CTTNBP2NL,HDAC7,CTTNBP2NL,up,increase,0.0,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0,True,False,True,True,True,True
HDAC7_UHRF1,HDAC7,UHRF1,down,decrease,0.0,0.019230769230769232,0.0,0.0,0.019230769230769232,0.0,False,False,True,True,True,True
KAT2A_TADA2A,KAT2A,TADA2A,down,decrease,0.0,0.018518518518518517,0.03529411764705882,0.0,0.018518518518518517,-0.03529411764705882,False,True,True,True,True,True
KMT2D_MGP,KMT2D,MGP,down,decrease,0.0,,0.0,,,,,,True,True,False,True
KMT2D_MLPH,KMT2D,MLPH,down,decrease,0.1,,0.0,,,,,,True,True,False,True
KMT2D_SPATS2L,KMT2D,SPATS2L,lost,decrease,0.0,,0.0,,,,,,True,True,False,True
KMT2D_WDR5,KMT2D,WDR5,insig,posctl,0.0,,0.0,,,,,,True,True,False,True
