pair_id,bait,prey,mssEffect,expected_dir,n_combos,r_DMSO_mean,r_DMSO_sem,r_Vorino_mean,r_Vorino_sem,delta_r,paired_ttest_p,wilcoxon_p,n_concordant,frac_concordant,majority_concordant,concordant
AURKB_CCN1,AURKB,CCN1,up,increase,6,0.0512934503457802,0.019401112077373762,0.05965392831088284,0.01611951459760314,0.008360477965102654,0.7364411918639008,0.84375,4,0.6666666666666666,True,True
AURKB_CSRP2,AURKB,CSRP2,up,increase,6,0.04900838880707837,0.01706149103019938,0.06840462113056912,0.014235080711092432,0.019396232323490765,0.5486852783371968,0.5625,4,0.6666666666666666,True,True
AURKB_FBXO46,AURKB,FBXO46,up,increase,4,0.06499111740829641,0.015417808654189784,0.06116989094286927,0.015245843443693513,-0.0038212264654271383,0.4357238241218944,,1,0.25,False,False
BAP1_ARPC1B,BAP1,ARPC1B,down,decrease,9,0.07595546469527084,0.008970823404229219,0.0880102796272671,0.007835515502980842,0.012054814931996264,0.3491377093362738,0.65234375,5,0.5555555555555556,True,False
BARD1_ACTR2,BARD1,ACTR2,down,decrease,9,0.07663550611978753,0.01292380331953235,0.06579149479296954,0.014315229889416616,-0.010844011326817988,0.43356160928905185,0.359375,6,0.6666666666666666,True,True
BARD1_ARPC3,BARD1,ARPC3,down,decrease,9,0.06831632536458317,0.012190664062664655,0.08092532770518959,0.013395169408630225,0.01260900234060643,0.4566682256381138,0.5703125,4,0.4444444444444444,False,False
BARD1_ARPC4,BARD1,ARPC4,down,decrease,6,0.08368751474753179,0.00864804940805625,0.09176240596090042,0.012387428302436259,0.008074891213368629,0.6485908403186278,0.6875,2,0.3333333333333333,False,False
BARD1_CITED2,BARD1,CITED2,up,increase,9,0.08996388861329291,0.008757158460320975,0.09344227002477411,0.011366954602443176,0.003478381411481203,0.7760870073283973,0.5703125,5,0.5555555555555556,True,True
BARD1_FXR2,BARD1,FXR2,up,increase,6,0.10003495806344655,0.008921075658247277,0.07824412772545962,0.012842927182612797,-0.021790830337986927,0.1566564868100956,0.15625,2,0.3333333333333333,False,False
BAZ1B_IFIT3,BAZ1B,IFIT3,down,decrease,3,0.06129045688842968,0.008172809023070207,0.09229753379110213,0.02583279666734935,0.03100707690267246,0.34803542319531244,,1,0.3333333333333333,False,False
BAZ1B_MX2,BAZ1B,MX2,down,decrease,3,0.04886240930930217,0.017946658421843457,0.09752780793843956,0.0063578807185554285,0.04866539862913738,0.16814435594722066,,0,0.0,False,False
BAZ1B_PARP12,BAZ1B,PARP12,down,decrease,3,0.06666370084201127,0.016443972057769186,0.09235954826068682,0.002496480751509547,0.02569584741867556,0.2721669872696952,,1,0.3333333333333333,False,False
BRPF1_CPSF3,BRPF1,CPSF3,down,decrease,6,0.045492056669998886,0.007600375809781588,0.07133603239026659,0.012583518084123835,0.025843975720267708,0.036943827113340294,0.03125,0,0.0,False,False
BRPF1_IMMT,BRPF1,IMMT,down,decrease,3,0.08977626323733386,0.003977597130675931,0.10703084858419505,0.0154661829597381,0.017254585346861192,0.4392730594025498,,1,0.3333333333333333,False,False
